"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-AN",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-AR",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-AS",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CB",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CL",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CM",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CN",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-CT",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-EX",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-GA",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-IB",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-MC",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-MD",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-NC",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-PV",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-RI",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ES-VC",NA,"EVASTUR",FALSE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2015-01-01","Y","ESP",NA,"EVASTUR",TRUE,"2015"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-AN",110.425830612439,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-AR",94.4882310499298,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-AS",84.8208561492176,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CB",92.1404098221819,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CL",89.9996127916487,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CM",98.1221703877496,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CN",130.249678490376,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-CT",162.334110091846,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-EX",82.6532862123066,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-GA",96.8322444695565,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-IB",136.793829651828,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-MC",75.722756760201,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-MD",207.463716228272,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-NC",108.674621424964,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-PV",162.967618642585,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-RI",98.7966969671444,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ES-VC",91.0308069082775,"EVASTUR",FALSE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2016-01-01","Y","ESP",130.457136141605,"EVASTUR",TRUE,"2016"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-AN",115.05666716789,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-AR",95.389024424233,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-AS",100.376564255306,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CB",107.874655739265,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CL",101.105100263158,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CM",92.3793885763976,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CN",137.802628719278,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-CT",168.6713880139,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-EX",106.814211682594,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-GA",104.843491298121,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-IB",144.124918944448,"EVASTUR",FALSE,"2017"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2017-01-01","Y","ES-MC",84.1274228386899,"EVASTUR",FALSE,"2017"
