"region","SCORE_DIMENSION","IAMB0001","IAMB0002"
"ES-AN",-1.58143690338386,-0.673992649366264,-1.03456192197275
"ES-AR",2.32424461292183,0.998304074872328,1.51276592091477
"ES-AS",1.95127830566739,0.870688662229574,1.23743557716884
"ES-CB",0.622415754652787,0.54980051337026,0.122645716137841
"ES-CL",-1.48105753507458,-1.28099963541443,-0.319106961663984
"ES-CM",1.5874546469749,0.35255000775255,1.36250602014134
"ES-CN",-1.16871361515318,-0.857568410996793,-0.405087712357524
"ES-CT",-0.354293682480897,-0.719522512330553,0.336750307189758
"ES-EX",0.477939719826609,0.917513268141222,-0.401156218810349
"ES-GA",0.628548079091359,0.953404659016167,-0.274333181968921
"ES-IB",-0.149559086274367,0.268465324737922,-0.430046137726786
"ES-MC",-1.64586381235239,-0.700462410334555,-1.07769777701095
"ES-MD",-0.0848999848310766,0.580826524487365,-0.672550865104033
"ES-NC",0.0300681089099277,-1.11870321135556,1.15118822850651
"ES-PV",-0.234344332611403,-0.0156376305479396,-0.237543561755006
"ES-RI",1.18374843571306,0.766423501353919,0.512475958261155
"ES-VC",-0.236425414750943,0.346771341210316,-0.602200895363952
"ESP",-0.998730941388555,-1.23786141682553,0.158851364767232
"ES-CE",-0.532811042771797,0,-0.57563899061656
"ES-ML",-0.33756131268481,0,-0.364694868736624
