"region","SCORE_DIMENSION","ISOC0001","ISOC0002","ISOC0003","ISOC0005","ISOC0006","ISOC0007","ISOC0008"
"ES-AN",1.30211066339846,-0.0662161667160191,-0.122510332359723,0.0938917430375353,0.0303088702298021,0.00452181057762857,0.741834359002765,1.04322127953516
"ES-AR",-2.4201332185751,-0.482050375788795,-0.419653430571196,0.447996645592782,-0.541439430764962,0.00406953380962754,-2.00481546569995,-0.210328506377165
"ES-AS",0.646452862254568,-0.093838764796292,-0.0849573942190294,-0.538633041468131,-0.0574658428521663,0.0013338923373719,0.560039117060991,1.06995040979133
"ES-CB",-0.277393818870754,-0.201211648839455,0.358302903723406,-0.736382298201149,0.162593918396627,-0.00300990121557731,0.115743548155889,-0.0635311247026003
"ES-CE",1.43161578583194,0.993927948556487,0.84562902740005,0.0570645008686267,0,0,0,0
"ES-CL",-1.7603825748383,-0.223651380532392,-0.132240829446449,-0.636122061510329,0.415437992864822,-0.0105088215668473,-0.844096430969124,-0.900994065050272
"ES-CM",-1.00693737155645,-0.0963437885435016,-0.172304288554817,-0.406092053357301,0.497768151034198,-0.0118050778417199,-1.01544046792807,-0.129784979958618
"ES-CN",-1.64077141168263,-0.0020625076676646,0.455446604343797,-0.383217561099242,-1.17637840381453,0.000777100562856773,-0.0549231177107396,-1.01335543124267
"ES-CT",1.51869811968831,-0.232558356071538,-0.0252533752579919,0.449938270641901,0.931690606329855,-0.00124653925211084,0.201977751280138,0.687440822052974
"ES-EX",-1.44553598344487,-0.0150104490223184,-0.483601377795061,-0.224282545275882,-0.977912248383329,0.0057086841682386,0.243394343128487,-0.463359525610704
"ES-GA",-0.862384096555783,0.0310824463341599,-0.192156469671038,-0.805441126890577,-0.676108095544904,0.0010857348477242,0.109127324820534,0.389913564463629
"ES-IB",1.56765727236831,0.113027323870784,0.0169493469560176,0.244734284549336,0.794317548215151,-0.00383638193863633,0.353807566016807,0.557851154923803
"ES-MC",-0.84275628891297,-0.265590819479034,-0.637983462752658,0.481261080194386,-0.702860873291518,0.012639340018717,0.283458446571916,-0.287417181856612
"ES-MD",2.08492924583854,-0.079538017900196,0.16197531121268,0.909104078545373,0.356090624727908,-0.00917332360433637,0.518003151023303,0.905677029486832
"ES-ML",0.818979417221006,1.21165653528037,-0.30776746063871,0.18110451592319,0,0,0,0
"ES-NC",-1.43613476829492,-0.290453530916936,-0.330761774548428,-0.298537056470115,-0.748396231254868,-0.00488443670329084,0.278040200912233,-0.507615449105313
"ES-PV",1.32378916359677,-0.0406496740635941,1.23094274121339,0.39330848333516,0.184273927122465,0.0139302928623185,0.576948081945653,-0.604982356380218
"ES-RI",-0.975728491647606,-0.170977728514245,-0.109692283948494,-0.0502559300012027,0.407270774074117,0.00228895890211312,-0.219941952417622,-1.15134845107945
"ES-VC",1.04945309215668,0.0813005006860046,0.0337078484947383,0.870816001586844,0.328512814186653,-0.00242366011128139,0.0903468244118251,-0.0119324960448005
"ESP",0.924472402024818,-0.170841545875821,-0.0840713035804809,-0.0502559300012027,0.772295898724676,0.000532794147203937,0.0664967203949615,0.690595307154693
