"region","year","composite_index","composite_index_normalized"
"ES-AN",2022,-0.0506676893575071,49.0947258184173
"ES-AR",2022,-0.61910942571204,31.5717114024752
"ES-AS",2022,1.60068531181655,100
"ES-CB",2022,-0.134095369806806,46.5229504653671
"ES-CL",2022,-1.64328700288618,0
"ES-CM",2022,0.122939394939595,54.4464078753281
"ES-CN",2022,0.265491653464147,58.8407813377174
"ES-CT",2022,0.638048070411939,70.3253558286662
"ES-EX",2022,0.361707076637111,61.8067568097301
"ES-GA",2022,0.146531000639038,55.173652235353
"ES-IB",2022,-0.748330816314227,27.5882806556555
"ES-MC",2022,-0.721243949499085,28.4232713456924
"ES-MD",2022,0.671871919048858,71.3680234397189
"ES-NC",2022,-0.867985952349722,23.89974313352
"ES-PV",2022,0.51136057582157,66.4200359831121
"ES-RI",2022,0.323283736190049,60.6223034075566
"ES-VC",2022,0.354103793972476,61.5723749492507
"ESP",2022,0.0165403088779565,51.1665067004814
"ES-CE",2022,0.332851631800009,60.9172472197031
"ES-ML",2022,-0.560694267693735,33.3724406427818
