"year","region","ECO","ENV","SOC","composite_index"
2011,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2012,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2013,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2014,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2015,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2016,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2017,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2018,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2019,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2020,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2021,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2022,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2023,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2024,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
2025,"ESP",109.672511975806,813365.184719863,73.8466371684447,50
